ID,FIRST_NAME,LAST_NAME,ADDRESS,CITY,STATE,ZIP,PHONE,BIRTH,SSN,GENDER
1,JOSE,DEVERO,1431 S MARSTON ST,PHILADELPHIA,PA,19121,4849415642,11/22/1941,021282918,M
2,BOBBY,HARLESS,3107 N 17TH ST,PHILADELPHIA,PA,19121,7244525688,1/19/1960,002189577,M
3,RAMON,TARVIN,82238 CHESTNUT ST,PHILADELPHIA,PA,19121,7248051572,5/23/1960,211013607,M
4,JASON,BOODY,2233 N REESE ST,PHILADELPHIA,PA,19121,8782547708,8/13/1990,070093242,M
5,EARL,FEROCE,537 TYSON AVE,PHILADELPHIA,PA,19121,4843224407,10/17/1963,099123720,M
6,FRANK,HUBBARD,2913 MIFFLIN ST,PHILADELPHIA,PA,19121,8142040234,8/17/1988,028203684,M
7,DAVID,LOONEY,829 CHURCH LA,PHILADELPHIA,PA,19121,7246781170,9/28/1986,190013331,M
8,JAMES,COCHRAN,1904 CECIL B MOORE AVE,PHILADELPHIA,PA,19121,5708095189,5/16/1953,033241214,M
9,JASON,HUGHES,1217 W SILVER ST,PHILADELPHIA,PA,19121,6102896190,4/6/1979,169018513,M
10,JOSE,SMITH,1721 67TH AVE,PHILADELPHIA,PA,19121,8356871081,2/2/1956,022098458,M
11,DAVID,LOONEY,829 CHURCH LA,PHILADELPHIA,PA,19121,7246781170,9/28/1986,190013331,M
12,TYLER,ONSTOTT,1147 LEVICK ST,PHILADELPHIA,PA,19121,4122011612,7/21/2002,080748526,M
13,ROBERT,HOPKINS,509 ELLSWORTH ST,PHILADELPHIA,PA,19121,2678167420,2/26/1959,057102611,M
14,MICHAEL,GRANT,1710 BENSON ST,PHILADELPHIA,PA,19121,7174110919,2/9/1940,086740481,M
15,DAVID,ELKIN,1301 E HUNTING PARK AVE,PHILADELPHIA,PA,19121,8354417097,2/10/2009,017822314,M
16,BLAINE,SHAW,11849 BRANDON RD,PHILADELPHIA,PA,19121,8357096363,9/16/1952,755010050,M
17,JAMES,ABELING,320 PENSDALE ST,PHILADELPHIA,PA,19121,8353589117,1/24/2006,026225996,M
18,DAVID,ELKIN,1301 E HUNTING PARK AVE,PHILADELPHIA,PA,19121,8354417097,2/10/2009,017822314,M
19,KEN,LONG,210 E GIRARD AVE,PHILADELPHIA,PA,19121,4124238039,2/11/1964,047565665,M
20,JAMES,PAINTER,7028 VANDIKE ST,PHILADELPHIA,PA,19121,5707873746,9/24/1983,057709085,M
21,WADE,SMITH,3009 N 23RD ST,PHILADELPHIA,PA,19121,7249120004,8/16/1940,082050133,M
22,DONALD,ROBERTS,2716 N 22ND ST,PHILADELPHIA,PA,19121,6105662108,3/21/1980,015848008,M
23,JON,LEPORE,4318 BLAKISTON ST,PHILADELPHIA,PA,19121,8786722524,3/30/1959,050058692,M
24,DONNIE,TUCKER,2403 N BOUVIER ST,PHILADELPHIA,PA,19121,2155222666,2/6/1962,466019961,M
25,DUANE,HUNT,2451 STEWART ST,PHILADELPHIA,PA,19121,4129268911,12/23/2000,094826688,M
26,JASON,SHELDON,867 N OPAL ST,PHILADELPHIA,PA,19121,8144995262,11/15/1975,054425049,M
27,STEVEN,WILLIAMS,1363 KIMBERLY DR,PHILADELPHIA,PA,19121,4452736692,7/8/1989,529013182,M
28,DUANE,HUNT,2451 STEWART ST,PHILADELPHIA,PA,19121,4129268911,12/23/2000,094826688,M
29,SCOTT,MAHAR,752 S 08TH ST,PHILADELPHIA,PA,19121,8782383512,2/15/1977,004363155,M
30,ROBERT,MCDANIEL,1218 W WYOMING AVE,PHILADELPHIA,PA,19121,5707797127,3/14/1961,029284176,M
31,ROGER,BENNETT,812 S SWANSON ST,PHILADELPHIA,PA,19121,7176017782,5/2/1950,025600590,M
32,JAMES,TAYLOE,7600 E ROOSEVELT BLV,PHILADELPHIA,PA,19121,5707300008,1/13/1979,752018197,M
33,JOHN,GOSS,8619 COLONY DR,PHILADELPHIA,PA,19121,8785555889,2/5/1944,183015039,M
34,NELSON,HARTGRAVES,3209 BELGREEN RD,PHILADELPHIA,PA,19121,4849166859,8/16/1949,055221557,M
35,JAMES,TAYLOE,7600 E ROOSEVELT BLV,PHILADELPHIA,PA,19121,5707300008,1/13/1979,752018197,M
36,KENNETH,SHAW,1526 S LAMBERT ST,PHILADELPHIA,PA,19121,2674133271,11/25/1979,728015427,M
37,KENNETH,BYERS,2833 STEVENS ST,PHILADELPHIA,PA,19121,2152497678,1/5/1981,021223662,M
38,KEVIN,SLONAKER,6603 HARLEY AVE,PHILADELPHIA,PA,19121,2676028711,9/16/1978,684011016,M
39,JOHNATHON,WILLIAMS,6138 OSAGE AVE,PHILADELPHIA,PA,19121,8142667075,2/18/2005,002305935,M
40,BRIAN,COPPINGER,2022 NAUDAIN ST,PHILADELPHIA,PA,19121,8144704805,10/29/1997,094481602,M
41,HENRY,PARKS,4312 M ST,PHILADELPHIA,PA,19121,4845777679,1/12/1954,082108607,M
42,SAMUEL,MOORE,8262 FORREST AVE,PHILADELPHIA,PA,19121,8788618693,4/26/2000,045010042,M
43,JAIME,COLEY,2349 N 06TH ST,PHILADELPHIA,PA,19121,8354796041,12/31/2007,531018300,M
44,HENRY,PARKS,4312 M ST,PHILADELPHIA,PA,19121,4845777679,1/12/1954,082108607,M
45,JASON,ELLEDGE,1016 OREGON AVE,PHILADELPHIA,PA,19121,8359674648,5/1/1977,007053473,M
46,MARVIN,MARTIN,529 FERNON ST,PHILADELPHIA,PA,19121,8149989071,3/31/1980,067015055,M
47,JOHN,SHERMAN,5141 CHARLES ST,PHILADELPHIA,PA,19121,5702732030,4/18/1944,065844395,M
48,JOSE,ZIELINSKI,4221 OLIVE ST,PHILADELPHIA,PA,19121,8357956474,5/20/1951,073421258,M
49,GENE,PEAKE,3546 N SMEDLEY ST,PHILADELPHIA,PA,19121,8146183537,1/25/1990,059947026,M
50,GEORGE,JOHNSON,8133 ANGELO PL,PHILADELPHIA,PA,19121,4125309151,6/23/2007,002389510,M
51,MICHAEL,KENDALL,4432 MALTA ST,PHILADELPHIA,PA,19121,8148065248,12/26/1986,760019876,M
52,JOHNNY,COUGHLIN,1918 POPLAR ST,PHILADELPHIA,PA,19121,4844888235,1/9/1984,056050072,M
53,JOSE,ZIELINSKI,4221 OLIVE ST,PHILADELPHIA,PA,19121,8357956474,5/20/1951,073421258,M
54,JOHNNY,MINASIAN,635 E THAYER ST,PHILADELPHIA,PA,19121,2159824511,4/12/1975,033449113,M
55,BENTON,MAULSBY,2453 S HUTCHINSON ST,PHILADELPHIA,PA,19121,8357478129,6/15/1959,031094943,M
56,CHARLES,PULIS,2622 S BOUVIER ST,PHILADELPHIA,PA,19121,8143845836,2/29/1940,074481253,M
57,AMANDA,HANENBERGER,6500 E WISTER ST,PHILADELPHIA,PA,19121,4129067429,1/16/1960,090103827,F
58,AMY,JOHNSON,2040 N LEITHGOW ST,PHILADELPHIA,PA,19121,6103900625,11/19/1995,035122293,F
59,MARY,ZEIGLER,4360 CRESSON ST,PHILADELPHIA,PA,19121,2155521074,7/24/1982,049961922,F
60,AMANDA,HANENBERGER,6500 E WISTER ST,PHILADELPHIA,PA,19121,4129067429,1/16/1960,090103827,F
61,DARLENE,BRADLEY,1353 KIMBERLY DR,PHILADELPHIA,PA,19121,8147217503,5/7/1990,029584066,F
62,MARILYN,SKORUP,1933 RIDGE AVE,PHILADELPHIA,PA,19121,7175347641,1/7/1955,002096070,F
63,CARRIE,BAKER,4304 COMLY ST,PHILADELPHIA,PA,19121,2159236200,11/13/1993,093925123,F
64,MARIBEL,HAVERY,4831 WALNUT ST,PHILADELPHIA,PA,19121,2155407489,4/28/1970,047464832,F
65,TONI,BLANCHARD,348 N SALFORD ST,PHILADELPHIA,PA,19121,6104809337,2/26/1969,404014972,F
66,ISABELLA,WILSON,1814 E SCHILLER ST,PHILADELPHIA,PA,19121,2152342102,3/3/1944,051329020,F
67,KATHLEEN,WULF,210 E HIGHLAND AVE,PHILADELPHIA,PA,19121,4848742779,10/26/1960,093401123,F
68,DORA,HAUGHEY,1419 N 21ST ST,PHILADELPHIA,PA,19121,4453775696,1/21/1975,664016520,F
69,MARIBEL,HAVERY,4831 WALNUT ST,PHILADELPHIA,PA,19121,2155407489,4/28/1970,047464832,F
70,LAVERNE,LINDEN,9601 MILNOR ST,PHILADELPHIA,PA,19121,2678529996,7/22/1949,093227487,F
71,KATHRYN,ATCHISON,3444 KEIM ST,PHILADELPHIA,PA,19121,2672156025,9/22/1960,084203098,F
72,ROSIE,TERRILL,2222 SUMMER ST,PHILADELPHIA,PA,19121,8352976715,12/20/1978,006861126,F
73,SHANNON,BOOTH,4222 PARRISH ST,PHILADELPHIA,PA,19121,7244793886,2/9/2008,086681285,F
74,JOYCE,BAKER,335 RITNER ST,PHILADELPHIA,PA,19121,2159838257,7/14/1985,672011069,F
75,PAULINE,BAKER,3020 D ST,PHILADELPHIA,PA,19121,8356814684,5/24/1971,027168389,F
76,SANDRA,DOYLE,661921 HAVERFORD AVE,PHILADELPHIA,PA,19121,8353575676,12/25/1986,660017292,F
77,JOYCE,BAKER,335 RITNER ST,PHILADELPHIA,PA,19121,2159838257,7/14/1985,672011069,F
78,MARTHA,HONAKER,1422 S 31ST ST,PHILADELPHIA,PA,19121,4126141131,4/14/2008,034033221,F
79,DOROTHY,SHELTON,5258 DELANCEY ST,PHILADELPHIA,PA,19121,4456184071,6/13/1994,053444521,F
80,CECILIA,GIBSON,4910 CONVENT LA,PHILADELPHIA,PA,19121,4124008987,7/5/2004,037467142,F
81,APRIL,HARDIN,1347 S 54TH ST,PHILADELPHIA,PA,19121,8147568787,1/3/1946,071869604,F
82,KYLIE,THOMAS,334 KINGSLEY ST,PHILADELPHIA,PA,19121,4454221899,2/8/1997,073689670,F
83,ELIDA,RASCH,9324 MARSDEN ST,PHILADELPHIA,PA,19121,5709381557,1/18/1982,077442283,F
84,JOANNE,RUDERMAN,4408 TEESDALE ST,PHILADELPHIA,PA,19121,8786405313,1/18/1993,053846852,F
85,AMANDA,LEWIS,3316 N 13TH ST,PHILADELPHIA,PA,19121,8784584290,11/14/1987,011429735,F
86,MARIA,GLORIA,3309 MASCHER ST,PHILADELPHIA,PA,19121,2153381194,8/15/1974,065184819,F
87,BERNIE,WHELAN,5023 WALNUT ST,PHILADELPHIA,PA,19121,4455072845,12/11/2008,057265079,F
88,TASHA,BRASHER,1733 MOORE ST,PHILADELPHIA,PA,19121,6103487897,3/17/1986,313017003,F
89,MICHELLE,GOODMAN,614 S 55TH ST,PHILADELPHIA,PA,19121,5705143369,12/28/1968,087825967,F
90,KYLIE,THOMAS,334 KINGSLEY ST,PHILADELPHIA,PA,19121,4454221899,2/8/1997,073689670,F
91,EMMA,HENDERSON,1304 DIVINITY ST,PHILADELPHIA,PA,19121,7243134210,1/18/1976,011623212,F
92,SHIRLEY,WELLER,6138 GILLESPIE ST,PHILADELPHIA,PA,19121,7176928179,2/22/1969,033563470,F
93,PAMELA,MITCHELL,112 N 02ND ST,PHILADELPHIA,PA,19121,8357168200,6/6/1950,057145628,F
94,CHERYL,WHITE,2064 E CAMBRIA ST,PHILADELPHIA,PA,19121,7174655723,1/17/1940,094160632,F
95,ANGIE,DAVIS,116 QUARRY ST,PHILADELPHIA,PA,19121,2159556145,1/13/1967,057683278,F
96,KIMBERLY,MYERS,8117 WILLIAMS AVE,PHILADELPHIA,PA,19121,8142521109,8/22/2000,006582451,F
97,MISTIE,BAKER,5109 WALKER ST,PHILADELPHIA,PA,19121,7172151343,9/22/1945,080143176,F
98,LORY,ASTON,2232 S FAIRHILL ST,PHILADELPHIA,PA,19121,8149163930,11/25/1960,008092054,F
99,JENNIFER,HEBERT,1412 KERBAUGH ST,PHILADELPHIA,PA,19121,4124733804,7/5/1940,021463515,F
100,JENNIFER,COWGER,530 S SALFORD ST,PHILADELPHIA,PA,19121,8142801861,5/22/1975,085260034,F
101,NORMA,TANNENBAUM,1836 S 56TH ST,PHILADELPHIA,PA,19121,7175555686,1/3/1976,155012723,F
102,JANNA,WATSON,49799 CONARROE ST,PHILADELPHIA,PA,19121,2677682890,5/19/2002,067343266,F
103,KIMBERLY,THOMPSON,1050 EDISON AVE,PHILADELPHIA,PA,19121,4847764212,5/9/1958,054188322,F
104,SHIRLEY,WELLER,6138 GILLESPIE ST,PHILADELPHIA,PA,19121,7176928179,2/22/1969,033563470,F
105,JANICE,FISH,1901 RUAN ST,PHILADELPHIA,PA,19121,8146550045,6/22/1998,011102677,F
106,MARY,CLARK,3874 KIPLING PL,PHILADELPHIA,PA,19121,7243913987,10/20/1977,074057419,F
107,PATRICIA,HEALEY,3953 N 09TH ST,PHILADELPHIA,PA,19121,8143218020,10/18/1986,613018688,F
108,JEANINE,MARK,4445 ALMOND ST,PHILADELPHIA,PA,19121,7243509760,6/27/1963,055607279,F
109,KIM,SIEGFRIED,2725 E LEHIGH AVE,PHILADELPHIA,PA,19121,8355227545,7/17/1993,039620131,F
110,DARCY,MELLO,6950 CLIFF RD,PHILADELPHIA,PA,19121,2673427346,6/16/1950,051282138,F
111,NORMA,TANNENBAUM,1836 S 56TH ST,PHILADELPHIA,PA,19121,7175555686,1/3/1976,155012723,F
112,SARAH,HUBBARD,220 LOCUST ST,PHILADELPHIA,PA,19121,4125304783,1/26/1957,045508787,F
